ticker,bucket,rank,score,target_weight_raw,target_weight_final,reason,annual_fee_rate,deployment_ml_proba,core_deployment_multiplier_ml,opp_deployment_multiplier_ml,date
PAEEM.PA,monetary,2,0.12360928818185726,0.027910442923767643,0.08074719336435922,PERMANENT_ETF,0.003,0.5,1.0,1.0,2020-09-30
ETDD.PA,monetary,3,0.04584743005021216,0.044402813057473504,0.12846096859394854,PERMANENT_ETF,0.001,0.5,1.0,1.0,2020-09-30
PANX.PA,opportunistic,1,0.6964702363862211,0.21991627202489644,0.0445365028880608,KEEP_OPP,0.003,0.5,1.0,1.0,2020-09-30
PUST.PA,opportunistic,2,0.6660964221452389,0.21486633667075566,0.043513811577348016,NEW_OPP_ENTRY,0.003,0.5,1.0,1.0,2020-09-30
ERF.PA,core,1,2.0500296889241003,0.10493332772746118,0.1257861635220126,NEW_ENTRY,,0.5,1.0,1.0,2020-10-30
RCO.PA,core,2,1.8678861180741142,0.08700891397302697,0.10783616598607294,NEW_ENTRY,,0.5,1.0,1.0,2020-10-30
SU.PA,core,3,1.438171473326839,0.054001336752442425,0.06692759221556821,NEW_ENTRY,,0.5,1.0,1.0,2020-10-30
RMS.PA,core,4,1.2669124948719708,0.046916830697546125,0.05814727378633269,NEW_ENTRY,,0.5,1.0,1.0,2020-10-30
STMPA.PA,core,5,1.2610246306620614,0.04136331327148789,0.05126441547196946,NEW_ENTRY,,0.5,1.0,1.0,2020-10-30
TEP.PA,core,6,1.1804769507188,0.0386084487060194,0.04785012124640188,NEW_ENTRY,,0.5,1.0,1.0,2020-10-30
NEX.PA,core,7,1.1508858382130753,0.03366882151273863,0.04172809956378355,NEW_ENTRY,,0.5,1.0,1.0,2020-10-30
VIV.PA,core,8,0.9506525066816777,0.028281616054929584,0.03505136317641218,NEW_ENTRY,,0.5,1.0,1.0,2020-10-30
PAEEM.PA,monetary,1,0.07412643864230332,0.03295146667851406,0.09533128724601554,PERMANENT_ETF,0.003,0.5,1.0,1.0,2020-10-30
ESE.PA,monetary,2,0.073654974036329,0.05375003893166666,0.1555032572865828,PERMANENT_ETF,0.0014,0.5,1.0,1.0,2020-10-30
ETDD.PA,monetary,3,-0.0699929545280968,0.04373327699851496,0.12652394603343953,PERMANENT_ETF,0.001,0.5,1.0,1.0,2020-10-30
PAASI.PA,opportunistic,1,0.7607682214467063,0.2550167211181486,0.051644895723298015,NEW_OPP_ENTRY,0.003,0.5,1.0,1.0,2020-10-30
PANX.PA,opportunistic,2,0.5216545697403918,0.1797658875775036,0.0364054187421108,KEEP_OPP,0.003,0.5,1.0,1.0,2020-10-30
STMPA.PA,core,1,1.6880454810314087,0.07815460296794927,0.08987779341314164,NEW_ENTRY,,0.5,1.0,1.0,2020-11-30
RCO.PA,core,2,1.6425936850778435,0.07491957729053997,0.08615751388412096,NEW_ENTRY,,0.5,1.0,1.0,2020-11-30
ERF.PA,core,3,1.6393215523447229,0.069355253355009,0.07975854135826034,NEW_ENTRY,,0.5,1.0,1.0,2020-11-30
TEP.PA,core,4,1.4373071196465412,0.05732313308652551,0.06592160304950433,NEW_ENTRY,,0.5,1.0,1.0,2020-11-30
SU.PA,core,5,1.3100441735011543,0.04600497525486561,0.05290572154309544,NEW_ENTRY,,0.5,1.0,1.0,2020-11-30
NEX.PA,core,6,1.2003494749398562,0.041655552002978755,0.047903884803425556,NEW_ENTRY,,0.5,1.0,1.0,2020-11-30
RMS.PA,core,7,1.0927513499017714,0.033998162363833136,0.0390978867184081,NEW_ENTRY,,0.5,1.0,1.0,2020-11-30
OR.PA,core,8,1.0725032288579037,0.03337135237395095,0.03837705523004359,NEW_ENTRY,,0.5,1.0,1.0,2020-11-30
PAEEM.PA,monetary,1,0.10883758700400667,0.0353757292728828,0.0813641773276304,PERMANENT_ETF,0.003,0.5,1.0,1.0,2020-11-30
ESE.PA,monetary,2,0.0686145911986609,0.050513072667469724,0.11618006713518031,PERMANENT_ETF,0.0014,0.5,1.0,1.0,2020-11-30
ETDD.PA,monetary,3,-0.022563270999233206,0.04454598066834315,0.10245575553718919,PERMANENT_ETF,0.001,0.5,1.0,1.0,2020-11-30
PANX.PA,opportunistic,1,0.7350979334354677,0.22670787059805877,0.09999999999999998,KEEP_OPP,0.003,0.5,1.0,1.0,2020-11-30
PUST.PA,opportunistic,2,0.6351139750080821,0.20807473809759341,0.09999999999999998,NEW_OPP_ENTRY,0.003,0.5,1.0,1.0,2020-11-30
STMPA.PA,core,1,1.6016483144094813,0.08348968337634967,0.09601313588280212,NEW_ENTRY,,0.5,1.0,1.0,2020-12-31
NEX.PA,core,2,1.3248428035936997,0.06494046046683201,0.07468152953685682,NEW_ENTRY,,0.5,1.0,1.0,2020-12-31
ERF.PA,core,3,1.2045966558474963,0.053564867754072015,0.06159959791718282,NEW_ENTRY,,0.5,1.0,1.0,2020-12-31
MC.PA,core,4,1.2029284639015816,0.05348820532798268,0.06151143612718009,NEW_ENTRY,,0.5,1.0,1.0,2020-12-31
PUB.PA,core,5,1.2046091351626529,0.04822600638933393,0.055459907347734025,NEW_ENTRY,,0.5,1.0,1.0,2020-12-31
RCO.PA,core,6,1.2000610534266871,0.04801742294634307,0.055220036388294536,NEW_ENTRY,,0.5,1.0,1.0,2020-12-31
SU.PA,core,7,1.1948440923453425,0.04377524970368811,0.050341537159241334,NEW_ENTRY,,0.5,1.0,1.0,2020-12-31
RNO.PA,core,8,1.0880388355696196,0.03928071273105064,0.04517281964070824,NEW_ENTRY,,0.5,1.0,1.0,2020-12-31
PAEEM.PA,monetary,1,0.1268715940201731,0.032536567370455904,0.07483410495204859,PERMANENT_ETF,0.003,0.5,1.0,1.0,2020-12-31
ESE.PA,monetary,2,0.10374099917900985,0.05047670020671041,0.11609641047543397,PERMANENT_ETF,0.0014,0.5,1.0,1.0,2020-12-31
ETDD.PA,monetary,3,0.06932010918961014,0.04742151503152934,0.10906948457251749,PERMANENT_ETF,0.001,0.5,1.0,1.0,2020-12-31
PINR.PA,opportunistic,1,0.3272652430450231,0.14252141201227314,0.06555984952564567,NEW_OPP_ENTRY,0.003,0.5,1.0,1.0,2020-12-31
PAASI.PA,opportunistic,2,0.233807751256193,0.15328349796285284,0.07051040906291232,NEW_OPP_ENTRY,0.003,0.5,1.0,1.0,2020-12-31
PANX.PA,opportunistic,3,0.16337402843216814,0.1389776987205261,0.06392974141144202,KEEP_OPP,0.003,0.5,1.0,1.0,2020-12-31
ERF.PA,core,1,1.8011185191812293,0.09374882467170384,0.10000000000000002,NEW_ENTRY,,0.5,1.0,1.0,2021-01-29
RNO.PA,core,2,1.5634365042237606,0.07510305939546852,0.08808870313000379,NEW_ENTRY,,0.5,1.0,1.0,2021-01-29
RCO.PA,core,3,1.4988233797847006,0.06523965757683166,0.07651987648502338,NEW_ENTRY,,0.5,1.0,1.0,2021-01-29
NEX.PA,core,4,1.4741267629896948,0.06378191872255956,0.07481008827920771,NEW_ENTRY,,0.5,1.0,1.0,2021-01-29
PUB.PA,core,5,1.3407239303644198,0.05094116797016112,0.05974911619499128,NEW_ENTRY,,0.5,1.0,1.0,2021-01-29
MC.PA,core,6,1.3072136161244035,0.04937291021938661,0.05790969989755562,NEW_ENTRY,,0.5,1.0,1.0,2021-01-29
SU.PA,core,8,1.0930363611261174,0.03659507013954087,0.04292251601321829,NEW_ENTRY,,0.5,1.0,1.0,2021-01-29
