date,benchmark_value,general_cash,core_cash,monetary_cash,opp_cash,core_positions_value,monetary_positions_value,opp_positions_value,core_total_value,monetary_total_value,opp_total_value,portfolio_value,daily_turnover,costs_paid_this_day,cumulative_costs_paid,num_core_positions,num_monetary_positions,num_opp_positions
2019-02-13,54538.807343933615,3995.5674460153596,0.0,0.0,0.0,27846.139350891113,10514.479244232178,10465.940654754639,27846.139350891113,10514.479244232178,10465.940654754639,52822.12669589329,0.0,0.0,86.19081804943086,9,2,2
2019-02-14,54453.860384897926,3995.5674460153596,0.0,0.0,0.0,27743.781321525574,10465.69058227539,10426.782165527344,27743.781321525574,10465.69058227539,10426.782165527344,52631.82151534367,0.0,0.0,86.19081804943086,9,2,2
2019-02-15,55226.04223036817,3995.5674460153596,0.0,0.0,0.0,27933.565803527832,10617.681823730469,10493.006927490234,27933.565803527832,10617.681823730469,10493.006927490234,53039.822000763896,0.0,0.0,86.19081804943086,9,2,2
2019-02-18,55495.3979111621,3995.5674460153596,0.0,0.0,0.0,27965.441776275635,10628.75171661377,10492.5512008667,27965.441776275635,10628.75171661377,10492.5512008667,53082.312139771464,0.0,0.0,86.19081804943086,9,2,2
2019-02-19,55458.29105069027,3995.5674460153596,0.0,0.0,0.0,27844.86459827423,10609.693717956543,10478.316083908081,27844.86459827423,10609.693717956543,10478.316083908081,52928.441846154215,0.0,0.0,86.19081804943086,9,2,2
2019-02-20,55780.98892752838,3995.5674460153596,0.0,0.0,0.0,27903.086720466614,10642.413452148438,10537.773376464844,27903.086720466614,10642.413452148438,10537.773376464844,53078.840995095255,0.0,0.0,86.19081804943086,9,2,2
2019-02-21,55896.0692056848,3995.5674460153596,0.0,0.0,0.0,28100.919874191284,10638.735134124756,10480.554056167603,28100.919874191284,10638.735134124756,10480.554056167603,53215.776510499,0.0,0.0,86.19081804943086,9,2,2
2019-02-22,56143.94614127532,3995.5674460153596,0.0,0.0,0.0,28151.527235031128,10680.008247375488,10593.299743652344,28151.527235031128,10680.008247375488,10593.299743652344,53420.40267207432,0.0,0.0,86.19081804943086,9,2,2
2019-02-25,56283.06525897405,3995.5674460153596,0.0,0.0,0.0,28010.988869667053,10729.24624633789,10702.220844268799,28010.988869667053,10729.24624633789,10702.220844268799,53438.0234062891,0.0,0.0,86.19081804943086,9,2,2
2019-02-26,56365.17881299666,3995.5674460153596,0.0,0.0,0.0,27831.35357093811,10713.279838562012,10631.6937789917,27831.35357093811,10713.279838562012,10631.6937789917,53171.89463450718,0.0,0.0,86.19081804943086,9,2,2
2019-02-27,56103.816986738195,3995.5674460153596,0.0,0.0,0.0,27801.1775598526,10673.053043365479,10560.485836029053,27801.1775598526,10673.053043365479,10560.485836029053,53030.28388526249,0.0,0.0,86.19081804943086,9,2,2
2019-02-28,56224.55257511896,7.519991501808818,0.0,0.0,0.0,31848.357420921326,10706.15023803711,10511.873937606812,31848.357420921326,10706.15023803711,10511.873937606812,53073.901588067056,0.16357674271258343,33.26193205261231,119.45275010204317,10,2,2
2019-03-01,56950.16865390868,7.519991501808818,0.0,0.0,0.0,32198.045930862427,10727.558292388916,10507.367763519287,32198.045930862427,10727.558292388916,10507.367763519287,53440.49197827244,0.0,0.0,119.45275010204317,10,2,2
2019-03-04,57096.49383972017,7.519991501808818,0.0,0.0,0.0,32330.185790538788,10776.456840515137,10576.794233322144,32330.185790538788,10776.456840515137,10576.794233322144,53690.95685587788,0.0,0.0,119.45275010204317,10,2,2
2019-03-05,57058.03181798886,7.519991501808818,0.0,0.0,0.0,32108.77192878723,10804.863075256348,10682.639762878418,32108.77192878723,10804.863075256348,10682.639762878418,53603.794758423806,0.0,0.0,119.45275010204317,10,2,2
2019-03-06,56813.83904197962,7.519991501808818,0.0,0.0,0.0,31938.018590927124,10762.050598144531,10637.205121994019,31938.018590927124,10762.050598144531,10637.205121994019,53344.79430256748,0.0,0.0,119.45275010204317,10,2,2
2019-03-07,56626.707236383874,7.519991501808818,0.0,0.0,0.0,31786.498730659485,10740.557262420654,10579.566083908081,31786.498730659485,10740.557262420654,10579.566083908081,53114.14206849003,0.0,0.0,119.45275010204317,10,2,2
2019-03-08,56363.001873592635,7.519991501808818,0.0,0.0,0.0,31765.48260784149,10647.310596466064,10434.300132751465,31765.48260784149,10647.310596466064,10434.300132751465,52854.61332856083,0.0,0.0,119.45275010204317,10,2,2
2019-03-11,56675.39453573104,7.519991501808818,0.0,0.0,0.0,31942.78569507599,10763.666675567627,10662.89730834961,31942.78569507599,10763.666675567627,10662.89730834961,53376.869670495034,0.0,0.0,119.45275010204317,10,2,2
2019-03-12,56728.86596031722,7.519991501808818,0.0,0.0,0.0,32021.474581718445,10766.939918518066,10698.456069946289,32021.474581718445,10766.939918518066,10698.456069946289,53494.39056168461,0.0,0.0,119.45275010204317,10,2,2
2019-03-13,56929.45932621377,7.519991501808818,0.0,0.0,0.0,32165.206345558167,10834.313381195068,10715.640266418457,32165.206345558167,10834.313381195068,10715.640266418457,53722.6799846735,0.0,0.0,119.45275010204317,10,2,2
2019-03-14,57534.81743146807,7.519991501808818,0.0,0.0,0.0,32395.1996717453,10864.564022064209,10685.676006317139,32395.1996717453,10864.564022064209,10685.676006317139,53952.95969162846,0.0,0.0,119.45275010204317,10,2,2
2019-03-15,58093.23351498804,7.519991501808818,0.0,0.0,0.0,32639.438031196594,10955.885814666748,10796.126787185669,32639.438031196594,10955.885814666748,10796.126787185669,54398.97062455082,0.0,0.0,119.45275010204317,10,2,2
2019-03-18,58015.95977755231,7.519991501808818,0.0,0.0,0.0,32757.46640110016,10945.479991912842,10802.190055847168,32757.46640110016,10945.479991912842,10802.190055847168,54512.65644036198,0.0,0.0,119.45275010204317,10,2,2
2019-03-19,58534.02978719678,7.519991501808818,0.0,0.0,0.0,32934.81519031525,11022.726425170898,10885.275203704834,32934.81519031525,11022.726425170898,10885.275203704834,54850.33681069279,0.0,0.0,119.45275010204317,10,2,2
2019-03-20,58187.4176917455,7.519991501808818,0.0,0.0,0.0,32546.83528804779,10894.018329620361,10785.527824401855,32546.83528804779,10894.018329620361,10785.527824401855,54233.90143357182,0.0,0.0,119.45275010204317,10,2,2
2019-03-21,58063.76968432882,7.519991501808818,0.0,0.0,0.0,32401.29638195038,10947.88794708252,10895.05488395691,32401.29638195038,10947.88794708252,10895.05488395691,54251.75920449162,0.0,0.0,119.45275010204317,10,2,2
2019-03-22,56999.31385305636,7.519991501808818,0.0,0.0,0.0,31929.555859088898,10812.598407745361,10800.698844909668,31929.555859088898,10812.598407745361,10800.698844909668,53550.373103245736,0.0,0.0,119.45275010204317,10,2,2
2019-03-25,56937.053703018755,7.519991501808818,0.0,0.0,0.0,31766.24379634857,10768.759189605713,10725.657011032104,31766.24379634857,10768.759189605713,10725.657011032104,53268.1799884882,0.0,0.0,119.45275010204317,10,2,2
2019-03-26,57562.96641555759,7.519991501808818,0.0,0.0,0.0,32116.58473443985,10843.354778289795,10795.70093536377,32116.58473443985,10843.354778289795,10795.70093536377,53763.16043959522,0.0,0.0,119.45275010204317,10,2,2
2019-03-27,57429.550399567226,7.519991501808818,0.0,0.0,0.0,31949.16236591339,10839.402713775635,10739.063833236694,31949.16236591339,10839.402713775635,10739.063833236694,53535.14890442753,0.0,0.0,119.45275010204317,10,2,2
2019-03-28,57441.49256297756,7.519991501808818,0.0,0.0,0.0,31878.214470386505,10863.100719451904,10776.546060562134,31878.214470386505,10863.100719451904,10776.546060562134,53525.38124190235,0.0,0.0,119.45275010204317,10,2,2
2019-03-29,57948.9096562226,2113.7564547243146,0.0,0.0,0.0,29898.064636707306,10953.160808563232,11030.594830513,29898.064636707306,10953.160808563232,11030.594830513,53995.576730507855,0.4503593727080523,51.33062299728394,170.7833730993271,9,2,2
2019-04-01,58664.748780438946,2113.7564547243146,0.0,0.0,0.0,30235.923406124115,11075.848537445068,11145.764874458313,30235.923406124115,11075.848537445068,11145.764874458313,54571.29327275181,0.0,0.0,170.7833730993271,9,2,2
2019-04-02,58919.34202335239,2113.7564547243146,0.0,0.0,0.0,30263.114015579224,11126.623943328857,11235.375311851501,30263.114015579224,11126.623943328857,11235.375311851501,54738.8697254839,0.0,0.0,170.7833730993271,9,2,2
2019-04-03,59302.98253447363,2113.7564547243146,0.0,0.0,0.0,30915.386386871338,11214.69234085083,11279.265051841736,30915.386386871338,11214.69234085083,11279.265051841736,55523.10023428822,0.0,0.0,170.7833730993271,9,2,2
2019-04-04,59172.59142019593,2113.7564547243146,0.0,0.0,0.0,30951.99028301239,11201.740642547607,11199.99013710022,30951.99028301239,11201.740642547607,11199.99013710022,55467.477517384534,0.0,0.0,170.7833730993271,9,2,2
2019-04-05,59385.45242081649,2113.7564547243146,0.0,0.0,0.0,31152.861461639404,11246.014476776123,11267.190104484558,31152.861461639404,11246.014476776123,11267.190104484558,55779.8224976244,0.0,0.0,170.7833730993271,9,2,2
2019-04-08,59283.88290211293,2113.7564547243146,0.0,0.0,0.0,31262.475130081177,11210.947666168213,11154.450113296509,31262.475130081177,11210.947666168213,11154.450113296509,55741.629364270215,0.0,0.0,170.7833730993271,9,2,2
2019-04-09,58664.774126155964,2113.7564547243146,0.0,0.0,0.0,30919.397017478943,11159.68983078003,11170.245091438293,30919.397017478943,11159.68983078003,11170.245091438293,55363.08839442158,0.0,0.0,170.7833730993271,9,2,2
2019-04-10,58869.41173004331,2113.7564547243146,0.0,0.0,0.0,31132.07294368744,11179.599632263184,11190.525203704834,31132.07294368744,11179.599632263184,11190.525203704834,55615.95423437977,0.0,0.0,170.7833730993271,9,2,2
