date,benchmark_value,general_cash,core_cash,monetary_cash,opp_cash,core_positions_value,monetary_positions_value,opp_positions_value,core_total_value,monetary_total_value,opp_total_value,portfolio_value,daily_turnover,costs_paid_this_day,cumulative_costs_paid,num_core_positions,num_monetary_positions,num_opp_positions
2022-06-06,82930.72833880417,8.076401761052693,0.0,0.0,0.0,38745.82448911667,21723.467769622803,4967.271062850952,38745.82448911667,21723.467769622803,4967.271062850952,65444.63972335147,0.0,0.0,2803.7225427122107,10,3,2
2022-06-07,82239.56363548372,8.076401761052693,0.0,0.0,0.0,38915.407364845276,21590.76122188568,4902.005069732666,38915.407364845276,21590.76122188568,4902.005069732666,65416.25005822467,0.0,0.0,2803.7225427122107,10,3,2
2022-06-08,81378.11900536006,8.076401761052693,0.0,0.0,0.0,38442.23742675781,21628.668424606323,4868.860000610352,38442.23742675781,21628.668424606323,4868.860000610352,64947.842253735536,0.0,0.0,2803.7225427122107,10,3,2
2022-06-09,80098.0680590504,8.076401761052693,0.0,0.0,0.0,37874.568636894226,21383.01685142517,4828.459899902344,37874.568636894226,21383.01685142517,4828.459899902344,64094.12178998279,0.0,0.0,2803.7225427122107,10,3,2
2022-06-10,78303.49041125897,8.076401761052693,0.0,0.0,0.0,37469.564490795135,20790.812418937683,4713.686056137085,37469.564490795135,20790.812418937683,4713.686056137085,62982.13936763095,0.0,0.0,2803.7225427122107,10,3,2
2022-06-13,75927.04322262401,8.076401761052693,0.0,0.0,0.0,37353.05634403229,20251.210153579712,4597.699890136719,37353.05634403229,20251.210153579712,4597.699890136719,62210.04278950977,0.0,0.0,2803.7225427122107,10,3,2
2022-06-14,74441.32092870488,8.076401761052693,0.0,0.0,0.0,37213.77057313919,20151.012093544006,4592.534126281738,37213.77057313919,20151.012093544006,4592.534126281738,61965.393194725984,0.0,0.0,2803.7225427122107,10,3,2
2022-06-15,75603.30584831678,8.076401761052693,0.0,0.0,0.0,37355.39487171173,20373.29492664337,4627.111909866333,37355.39487171173,20373.29492664337,4627.111909866333,62363.878109982485,0.0,0.0,2803.7225427122107,10,3,2
2022-06-16,73939.84349462965,8.076401761052693,0.0,0.0,0.0,37112.53419113159,19700.657455444336,4459.7070960998535,37112.53419113159,19700.657455444336,4459.7070960998535,61280.97514443683,0.0,0.0,2803.7225427122107,10,3,2
2022-06-17,74230.0810386064,8.076401761052693,0.0,0.0,0.0,37120.05332374573,19796.06193256378,4447.9498863220215,37120.05332374573,19796.06193256378,4447.9498863220215,61372.14154439258,0.0,0.0,2803.7225427122107,10,3,2
2022-06-20,74636.37618235721,8.076401761052693,0.0,0.0,0.0,37398.39347362518,19885.659125328064,4445.282159805298,37398.39347362518,19885.659125328064,4445.282159805298,61737.411160519594,0.0,0.0,2803.7225427122107,10,3,2
2022-06-21,75457.63018208019,8.076401761052693,0.0,0.0,0.0,37486.17425632477,20091.536135673523,4469.285139083862,37486.17425632477,20091.536135673523,4469.285139083862,62055.0719328432,0.0,0.0,2803.7225427122107,10,3,2
2022-06-22,75353.90436207845,8.076401761052693,0.0,0.0,0.0,36834.75239229202,19990.379328727722,4404.663156509399,36834.75239229202,19990.379328727722,4404.663156509399,61237.87127929019,0.0,0.0,2803.7225427122107,10,3,2
2022-06-23,75724.97679749988,8.076401761052693,0.0,0.0,0.0,36530.70266008377,20023.22512626648,4406.909984588623,36530.70266008377,20023.22512626648,4406.909984588623,60968.91417269992,0.0,0.0,2803.7225427122107,10,3,2
2022-06-24,78094.86089155597,8.076401761052693,0.0,0.0,0.0,37212.54069519043,20521.25016975403,4396.072982788086,37212.54069519043,20521.25016975403,4396.072982788086,62137.94024949359,0.0,0.0,2803.7225427122107,10,3,2
