ticker,sector,currently_held_core,current_core_weight_total,sector_current_count,sector_crowding_penalty,liquidity_penalty,mom12_ex1,ret_6m,ret_3m,rel_strength,vol60,dd_6m,ma200_flag,ma200_slope_flag,trend_bonus_value,persistence_bonus,core_score,rank_core,entry_candidate,retention_candidate,eligible_for_selection,construction_score,selected_core_final,selection_reason
CA.PA,Consumer,False,0.0,0.0,0.0,0.0,0.24321820366678382,0.23340128829556073,0.12148150691279658,0.12485320881801429,0.24539396781686856,-0.06224837943300532,True,True,0.2,0.0,0.8745084058670627,11,False,True,False,0.8745084058670627,False,NOT_SELECTED
SESG.PA,Communication,False,0.0,1.0,0.04,0.03,0.33753345749148966,0.10578660947260876,0.13586956568686714,0.13660404383829575,0.3981359243626425,-0.11126858490611313,True,True,0.2,0.0,0.688660478290053,12,False,True,False,0.688660478290053,False,NOT_SELECTED
LR.PA,Industrials,False,0.0,1.0,0.04,0.0,0.36641962819366447,0.01157582615691588,0.052038811248483086,0.10601774330699847,0.2526860196258097,-0.1250000369641201,True,True,0.2,0.0,0.6829058234889109,13,False,True,False,0.6829058234889109,False,NOT_SELECTED
ALO.PA,Industrials,False,0.0,1.0,0.04,0.0,0.22913970327327582,0.18762682006960274,0.017818333043625234,0.08334898337963864,0.34090794203549385,-0.2151474545397134,True,True,0.2,0.0,0.6658321069120936,14,False,True,False,0.6658321069120936,False,NOT_SELECTED
ERF.PA,Healthcare,False,0.0,0.0,0.0,0.03,0.3742216719583735,-0.006879278189605209,0.07990480767297625,0.1099554331702953,0.3142629693890451,-0.13129105481696812,True,True,0.2,0.0,0.65723263807864,15,False,False,False,0.65723263807864,False,NOT_SELECTED
STMPA.PA,Technology,False,0.0,0.0,0.0,0.0,0.11245000187546261,0.2533039335610283,0.24042907109955003,0.08922941433934466,0.4134167841734557,-0.041882973694565506,True,True,0.2,0.0,0.6478350431840738,16,False,False,False,0.6478350431840738,False,NOT_SELECTED
AMUN.PA,Financials,False,0.0,2.0,0.08,0.0,0.1858575006671208,0.17619045197017602,0.09292028228308391,0.07329736149462485,0.21055041077304643,-0.08968062549036904,True,True,0.2,0.0,0.6398277093982226,17,False,False,False,0.6398277093982226,False,NOT_SELECTED
GET.PA,Industrials,False,0.0,1.0,0.04,0.03,0.17020527033797395,0.11798471590967163,0.1435095090599059,0.058127370867264494,0.16723458259255733,-0.04831701335299354,True,True,0.2,0.0,0.5995388822659551,18,False,False,False,0.5995388822659551,False,NOT_SELECTED
VIE.PA,Utilities,False,0.0,1.0,0.04,0.0,0.10239419736883759,0.12421935700775255,0.10504781252089823,0.01839988740431906,0.1973111176497225,-0.09899882228114232,True,True,0.2,0.0,0.49918426942617516,19,False,False,False,0.49918426942617516,False,NOT_SELECTED
DG.PA,Industrials,False,0.0,1.0,0.04,0.0,0.20292819228291226,0.09213730084317984,0.05597014996188787,0.04922673550018251,0.28924968067965146,-0.10537412705473759,True,True,0.2,0.0,0.4916903328092022,20,False,False,False,0.4916903328092022,False,NOT_SELECTED
SCR.PA,Financials,False,0.0,2.0,0.08,0.03,0.17001630645815413,0.06811591068052336,0.11666666546253235,0.0377036786391354,0.21414180595375396,-0.06708863334307325,True,True,0.2,0.0,0.4326709049271208,21,False,False,False,0.4326709049271208,False,NOT_SELECTED
NEX.PA,Industrials,False,0.0,1.0,0.04,0.03,0.5235520665090758,-0.0683962040642363,-0.08564819120957212,0.13305495290674746,0.33725425566855943,-0.1666666487824785,False,True,0.0,0.0,0.4113066384824241,22,False,False,False,0.4113066384824241,False,NOT_SELECTED
SU.PA,Industrials,False,0.0,1.0,0.04,0.0,0.13012323648948354,0.09711343586757182,0.04097661951798037,0.011318392022004242,0.2841628407841828,-0.11402246808337912,True,True,0.2,0.0,0.376083412058078,23,False,False,False,0.376083412058078,False,NOT_SELECTED
SPIE.PA,Industrials,False,0.0,1.0,0.04,0.03,0.2460460768218311,-0.006365866863883074,0.005932177431588581,0.031227132951463198,0.24418737384836542,-0.09990522194812645,True,True,0.2,0.0,0.3753598496789602,24,False,False,False,0.3753598496789602,False,NOT_SELECTED
HO.PA,Industrials,False,0.0,1.0,0.04,0.0,0.05109074881930353,0.08928942228473447,0.10392508193091876,-0.01795536340534929,0.3549497989864551,-0.08946578440401631,True,True,0.2,0.0,0.21985128364850007,25,False,False,False,0.21985128364850007,False,NOT_SELECTED
ELIS.PA,Industrials,False,0.0,1.0,0.04,0.03,0.21213913032060727,0.019214664754006572,0.023489910333813313,0.025459365766663123,0.22566230619499772,-0.11849713332669987,False,True,0.0,0.0,0.20378263074398184,26,False,False,False,0.20378263074398184,False,NOT_SELECTED
DEC.PA,Communication,False,0.0,1.0,0.04,0.03,0.02162118014546066,0.08755766386576891,0.05897436242288512,-0.04219981916956712,0.26964706727992127,-0.05815281667749017,True,True,0.2,0.0,0.14741656929674724,27,False,False,False,0.14741656929674724,False,NOT_SELECTED
FR.PA,Consumer,False,0.0,0.0,0.0,0.0,0.29086048519225605,-0.0353273676953173,-0.11033887337177306,0.021691676726573076,0.3817318206349579,-0.23695978294315823,False,True,0.0,0.0,0.13641719313552775,28,False,False,False,0.13641719313552775,False,NOT_SELECTED
ACA.PA,Financials,False,0.0,2.0,0.08,0.0,0.17761918729684711,0.032679713730309645,-0.01220600909644598,0.005099725061622106,0.21654794411117023,-0.12798946201137917,False,True,0.0,0.0,0.13622131947589528,29,False,False,False,0.13622131947589528,False,NOT_SELECTED
BVI.PA,Industrials,False,0.0,1.0,0.04,0.0,0.015391687015009703,0.0811835864984034,0.06741569983619655,-0.04553852146233996,0.21881899633559793,-0.033242861514711786,True,False,0.0,0.0,-0.006524856508600983,30,False,False,False,-0.006524856508600983,False,NOT_SELECTED
AC.PA,Consumer,False,0.0,0.0,0.0,0.0,0.12049895975569358,0.020678062207173387,-0.08866468239084058,-0.04235261882477446,0.2970576471520467,-0.14724785448178657,False,True,0.0,0.0,-0.026838425934665813,31,False,False,False,-0.026838425934665813,False,NOT_SELECTED
AIR.PA,Industrials,False,0.0,1.0,0.04,0.0,0.19195710374198516,-0.06462618935202702,-0.10818504885333724,-0.03611889559188812,0.26690362022585323,-0.2033605785645055,False,True,0.0,0.0,-0.027726341068693434,32,False,False,False,-0.027726341068693434,False,NOT_SELECTED
KER.PA,Consumer,False,0.0,0.0,0.0,0.0,0.06032004785105971,0.09653745947251013,-0.13445898502223252,-0.05884311612376876,0.40776517838731124,-0.25853789907784974,False,True,0.0,0.0,-0.07962793606627232,33,False,False,False,-0.07962793606627232,False,NOT_SELECTED
ADP.PA,Industrials,False,0.0,1.0,0.04,0.0,0.23573896599208455,-0.061333346896701335,-0.1428571340104422,-0.02017452876166171,0.37225465010690395,-0.19878606958262346,False,True,0.0,0.0,-0.08145425372736118,34,False,False,False,-0.08145425372736118,False,NOT_SELECTED
OR.PA,Consumer,False,0.0,0.0,0.0,0.0,0.14625834367021784,-0.08439513483518157,-0.026425234348801174,-0.04854699637181093,0.28538675731163005,-0.09972714363270918,False,True,0.0,0.0,-0.0978459073673493,35,False,False,False,-0.0978459073673493,False,NOT_SELECTED
ML.PA,Consumer,False,0.0,0.0,0.0,0.0,0.0029735923146003707,-0.04718175347428266,0.07349266555401268,-0.08904177766078722,0.24372825384673644,-0.12732016960356685,False,True,0.0,0.0,-0.12213546181766322,36,False,False,False,-0.12213546181766322,False,NOT_SELECTED
CS.PA,Financials,False,0.0,2.0,0.08,0.0,0.07630537845687502,-0.05947299931325878,-0.027756153463047606,-0.0763130221447548,0.19704377577388477,-0.09599613193737122,False,False,-0.2,0.0,-0.3823526191730828,37,False,False,False,-0.3823526191730828,False,NOT_SELECTED
COFA.PA,Financials,False,0.0,2.0,0.08,0.03,0.0660319972463812,-0.047772742546964286,-0.014037435669217002,-0.07519589216134724,0.1933887093529283,-0.09509198218466086,False,False,-0.2,0.0,-0.39596570666291586,38,False,False,False,-0.39596570666291586,False,NOT_SELECTED
MC.PA,Consumer,False,0.0,0.0,0.0,0.0,-0.09381818707729306,0.039008929347519095,-0.19305823712470138,-0.16489064304593623,0.2981095997557881,-0.22634562354233045,False,True,0.0,0.0,-0.3982542601333777,39,False,False,False,-0.3982542601333777,False,NOT_SELECTED
